news_id,sentiment
NEWS_000001,positive
NEWS_000002,negative
NEWS_000003,negative
NEWS_000004,negative
NEWS_000005,positive
NEWS_000006,negative
NEWS_000007,positive
NEWS_000008,positive
NEWS_000009,negative
NEWS_000010,positive
NEWS_000011,positive
NEWS_000012,positive
NEWS_000013,negative
NEWS_000014,positive
NEWS_000015,negative
NEWS_000016,positive
NEWS_000017,positive
NEWS_000018,negative
NEWS_000019,positive
NEWS_000020,negative
NEWS_000021,negative
NEWS_000022,positive
NEWS_000023,negative
NEWS_000024,negative
NEWS_000025,neutral
NEWS_000026,positive
NEWS_000027,positive
NEWS_000028,positive
NEWS_000029,positive
NEWS_000030,neutral
NEWS_000031,negative
NEWS_000032,negative
NEWS_000033,positive
NEWS_000034,positive
NEWS_000035,negative
NEWS_000036,positive
NEWS_000037,positive
NEWS_000038,positive
NEWS_000039,positive
NEWS_000040,positive
NEWS_000041,positive
NEWS_000042,neutral
NEWS_000043,negative
NEWS_000044,positive
NEWS_000045,positive
NEWS_000046,positive
NEWS_000047,negative
NEWS_000048,positive
NEWS_000049,positive
NEWS_000050,positive
NEWS_000051,positive
NEWS_000052,positive
NEWS_000053,negative
NEWS_000054,positive
NEWS_000055,negative
NEWS_000056,positive
NEWS_000057,positive
NEWS_000058,positive
NEWS_000059,positive
NEWS_000060,negative
NEWS_000061,positive
NEWS_000062,positive
NEWS_000063,neutral
NEWS_000064,negative
NEWS_000065,negative
NEWS_000066,neutral
NEWS_000067,positive
NEWS_000068,positive
NEWS_000069,negative
NEWS_000070,positive
NEWS_000071,positive
NEWS_000072,positive
NEWS_000073,positive
NEWS_000074,positive
NEWS_000075,negative
NEWS_000076,negative
NEWS_000077,positive
NEWS_000078,negative
NEWS_000079,negative
NEWS_000080,negative
NEWS_000081,negative
NEWS_000082,negative
NEWS_000083,negative
NEWS_000084,negative
NEWS_000085,positive
NEWS_000086,negative
NEWS_000087,positive
NEWS_000088,positive
NEWS_000089,negative
NEWS_000090,negative
NEWS_000091,positive
NEWS_000092,positive
NEWS_000093,positive
NEWS_000094,positive
NEWS_000095,positive
NEWS_000096,positive
NEWS_000097,positive
NEWS_000098,positive
NEWS_000099,positive
NEWS_000100,neutral
NEWS_000101,positive
NEWS_000102,positive
NEWS_000103,positive
NEWS_000104,positive
NEWS_000105,positive
NEWS_000106,positive
NEWS_000107,positive
NEWS_000108,positive
NEWS_000109,positive
NEWS_000110,positive
NEWS_000111,positive
NEWS_000112,positive
NEWS_000113,positive
NEWS_000114,positive
NEWS_000115,negative
NEWS_000116,positive
NEWS_000117,positive
NEWS_000118,positive
NEWS_000119,positive
NEWS_000120,positive
NEWS_000121,positive
NEWS_000122,positive
NEWS_000123,positive
